2026-04-28 13:22:54,587 | INFO     | phase2.main                    | Producteur Kafka connecté (localhost:9092)
2026-04-28 13:22:54,590 | ERROR    | phase2.docker_collector        | Impossible de se connecter à Docker : Install pypiwin32 package to enable npipe:// support
2026-04-28 13:22:54,607 | INFO     | kafka.producer.kafka           | Closing the Kafka producer with 0 secs timeout.
2026-04-28 13:22:54,608 | INFO     | kafka.producer.kafka           | Proceeding to force close the producer since pending requests could not be completed within timeout 0.
2026-04-28 13:38:39,748 | INFO     | phase2.main                    | Phase 2 MicroSecScore — Démarrage
2026-04-28 13:38:39,761 | INFO     | kafka.conn                     | <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-04-28 13:38:39,762 | INFO     | kafka.conn                     | Probing node bootstrap-0 broker version
2026-04-28 13:38:39,764 | INFO     | kafka.conn                     | <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-04-28 13:38:39,875 | INFO     | kafka.conn                     | Broker version identified as 2.6.0
2026-04-28 13:38:39,882 | INFO     | kafka.conn                     | Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
2026-04-28 13:38:39,887 | INFO     | phase2.main                    | Producteur Kafka connecté (localhost:9092)
2026-04-28 13:38:39,942 | INFO     | phase2.docker_collector        | Docker Engine API connecté.
2026-04-28 13:38:39,943 | INFO     | phase2.main                    | Injection d'un scénario APT complet...
2026-04-28 13:38:39,944 | INFO     | phase2.normalizer              | Normaliseur démarré — consommation des 3 topics.
2026-04-28 13:38:39,949 | INFO     | kafka.conn                     | <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-04-28 13:38:39,950 | INFO     | kafka.conn                     | Probing node bootstrap-0 broker version
2026-04-28 13:38:39,953 | INFO     | kafka.conn                     | <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-04-28 13:38:40,062 | INFO     | kafka.conn                     | Broker version identified as 2.6.0
2026-04-28 13:38:40,062 | INFO     | kafka.conn                     | Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
2026-04-28 13:38:40,064 | INFO     | kafka.consumer.subscription_state | Updating subscribed topics to: ('logs-applicatifs', 'metriques-systeme', 'alertes-securite')
2026-04-28 13:38:40,401 | INFO     | kafka.conn                     | <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-04-28 13:38:40,403 | INFO     | kafka.conn                     | <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-04-28 13:38:40,404 | INFO     | kafka.conn                     | <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2026-04-28 13:38:40,945 | INFO     | phase2.falco_generator         | Injection manuelle scénario : full
2026-04-28 13:38:40,947 | INFO     | phase2.falco_generator         |   → SCAN injecté : edge-router
2026-04-28 13:38:40,949 | INFO     | kafka.conn                     | <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-04-28 13:38:40,949 | INFO     | phase2.falco_generator         |   → BRUTE injecté : edge-router
2026-04-28 13:38:40,950 | INFO     | kafka.conn                     | <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-04-28 13:38:40,951 | INFO     | phase2.falco_generator         |   → LATERAL injecté : cart → orders-db
2026-04-28 13:38:40,952 | INFO     | kafka.conn                     | <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2026-04-28 13:38:42,100 | INFO     | kafka.cluster                  | Group coordinator for microsecure-normalizer is BrokerMetadata(nodeId='coordinator-1', host='localhost', port=9092, rack=None)
2026-04-28 13:38:42,100 | INFO     | kafka.coordinator              | Discovered coordinator coordinator-1 for group microsecure-normalizer
2026-04-28 13:38:42,101 | INFO     | kafka.coordinator              | Starting new heartbeat thread
2026-04-28 13:38:42,102 | INFO     | kafka.coordinator.consumer     | Revoking previously assigned partitions set() for group microsecure-normalizer
2026-04-28 13:38:42,103 | INFO     | kafka.conn                     | <BrokerConnection node_id=coordinator-1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-04-28 13:38:42,103 | INFO     | kafka.conn                     | <BrokerConnection node_id=coordinator-1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-04-28 13:38:42,204 | INFO     | kafka.coordinator              | (Re-)joining group microsecure-normalizer
2026-04-28 13:38:43,955 | INFO     | kafka.producer.kafka           | Closing the Kafka producer with 4294967.0 secs timeout.
2026-04-28 13:38:43,957 | INFO     | kafka.conn                     | <BrokerConnection node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
